premise,hypothesis,label
The coffee was hot and bitter,The coffee was cold and sweet,False
The book was interesting and engaging,The book was dull and boring,True
The dog was friendly and playful,The dog was unfriendly and aggressive,True
The food was fresh and delicious,The food was stale and tasteless,True
The party was lively and fun,The party was dull and boring,True
The water was clear and refreshing,The water was murky and stale,True
The weather was warm and sunny,The weather was cold and cloudy,True
The dress was beautiful and elegant,The dress was ugly and tacky,True
The music was loud and energetic,The music was soft and calming,False
The car was fast and sleek,The car was slow and clunky,True
The game was intense and competitive,The game was casual and friendly,False
The movie was exciting and suspenseful,The movie was boring and predictable,True
The room was bright and cheerful,The room was dark and gloomy,True
The ride was fast and thrilling,The ride was slow and boring,True
The phone was new and innovative,The phone was old and outdated,True
The painting was beautiful and colorful,The painting was ugly and drab,True
The cake was moist and flavorful,The cake was dry and tasteless,True
The beach was sunny and relaxing,The beach was rainy and stressful,True
The shoes were comfortable and stylish,The shoes were uncomfortable and ugly,True
The vacation was exciting and adventurous,The vacation was boring and uneventful,True
The sky was clear and blue,The sky was cloudy and gray,True
The hotel was luxurious and comfortable,The hotel was shabby and uncomfortable,True
The workout was challenging and rewarding,The workout was easy and boring,True
The salad was fresh and healthy,The salad was wilted and unhealthy,True
The museum was informative and interesting,The museum was boring and uninformative,True
The park was beautiful and peaceful,The park was ugly and noisy,True
The cake was sweet and delicious,The cake was sour and inedible,True
The laptop was new and fast,The laptop was old and slow,True
The pool was clean and inviting,The pool was dirty and uninviting,True
The book was captivating and well-written,The book was boring and poorly written,True
The car was shiny and clean,The car was dirty and dented,True
The ice cream was cold and creamy,The ice cream was warm and lumpy,True
The hotel room was spacious and comfortable,The hotel room was cramped and uncomfortable,True
The colors were bright and vibrant,The colors were dull and faded,True
The burger was juicy and flavorful,The burger was dry and tasteless,True
The city was vibrant and exciting,The city was dull and boring,True
The sunset was beautiful and romantic,The sunset was ugly and unromantic,True
The fruit was fresh and ripe,The fruit was old and rotten,True
The restaurant was elegant and sophisticated,The restaurant was tacky and unrefined,True
The phone was sleek and modern,The phone was clunky and outdated,True
The city was crowded and bustling,The city was empty and quiet,True
The concert was loud and exciting,The concert was quiet and boring,True
The book was thought-provoking and insightful,The book was superficial and unenlightening,True
The car was powerful and efficient,The car was weak and inefficient,True
The movie was thrilling and suspenseful,The movie was boring and predictable,True
The coffee was strong and bold,The coffee was weak and bland,True
The hotel was clean and tidy,The hotel was dirty and messy,True
The dress was comfortable and stylish,The dress was uncomfortable and unfashionable,True
The pizza was hot and savory,The pizza was cold and bland,True
The sky was sunny and clear,The sky was cloudy and overcast,True
The book was informative and educational,The book was uninformative and misleading,True
The beach was sandy and beautiful,The beach was rocky and unattractive,True
The car was spacious and comfortable,The car was cramped and uncomfortable,True
The movie was emotional and heartwarming,The movie was emotionless and cold,True
The music was fast-paced and energetic,The music was slow and relaxing,True
The park was spacious and relaxing,The park was cramped and stressful,True
The laptop was sleek and modern,The laptop was bulky and outdated,True
The food was spicy and flavorful,The food was bland and tasteless,True
The shirt was stylish and trendy,The shirt was outdated and unfashionable,True
The phone was user-friendly and intuitive,The phone was complicated and unintuitive,True
The atmosphere was cozy and inviting,The atmosphere was cold and unwelcoming,True
The book was suspenseful and thrilling,The book was dull and uneventful,True
The car was reliable and efficient,The car was unreliable and inefficient,True
The movie was captivating and engaging,The movie was uninteresting and dull,True
The game was addictive and fun,The game was unenjoyable and boring,True
The coffee was aromatic and flavorful,The coffee was odorless and tasteless,True
The laptop was lightweight and portable,The laptop was heavy and bulky,True
