premise	hypothesis	ans	label
There are 6 apples and you take away 2	How many apples do you have left?	2	True
If a bus driver has 10 passengers and drops off 3	How many passengers are left on the bus?	7	True
If a toy car costs $5 and you have $20	How many toy cars can you buy?	4	True
If a football game lasts for 90 minutes	How many minutes does it last for?	90	True
If a car travels 50 miles per hour	How many miles will it travel in 2 hours?	100	True
If a pizza has 8 slices and you eat 3	How many slices are left?	5	True
If a book has 200 pages and you have read 50 pages	How many pages do you have left to read?	150	True
If a phone battery lasts for 6 hours and you have used it for 3 hours	How many hours of battery life do you have left?	3	True
If a bag of candy has 20 pieces and you eat 5	How many pieces are left in the bag?	15	True
If a video game costs $50 and you have $70	How much money do you have left after buying the video game?	20	True
If a triangle has 3 sides	How many sides does a square have?	4	True
If a basketball team scores 80 points and the other team scores 60 points	What is the difference in points between the two teams?	20	True
If a recipe calls for 2 cups of flour and you only have 1 cup	How much more flour do you need to complete the recipe?	1	True
If a marathon is 26.2 miles long	How many kilometers is it?	42.16	True
If a pack of gum has 10 pieces and you give 3 pieces to your friend	How many pieces of gum do you have left?	7	True
If a computer program takes 5 minutes to run	How many seconds does it take to run?	300	True
If a movie theater has 100 seats and 75 are already occupied	How many seats are still available?	25	True
If a birthday cake has 12 candles and you blow out 5 candles	How many candles are still lit?	7	True
If a soccer game lasts for 90 minutes	How many hours does it last for?	1.5	True
If a cookie recipe calls for 2 cups of sugar and you have only 1 cup	How much more sugar do you need to complete the recipe?	1	True
If a square has 4 sides	How many sides does a pentagon have?	5	True
If a shirt costs $20 and you have $30	How much change will you receive after buying the shirt?	10	True
If a baseball team has 9 players	How many players are on the field at once?	9	True
If a bike ride lasts for 2 hours and 30 minutes	How many minutes does it last for?	150	True
If a bag of chips has 15 pieces and you eat 8	How many pieces are left in the bag?	7	True
If a basketball court is 94 feet long	How many yards is it?	31.33	True
If a recipe calls for 1/4 cup of milk and you need 2 cups	How many times do you need to multiply the recipe?	8	True
If a car travels 60 miles per hour	How many miles will it travel in 4 hours?	240	True
If a dozen donuts has 12 donuts and you eat 3	How many donuts are left?	9	True
If a gallon of milk costs $3.50	How much will 3 gallons cost?	10.5	True
If a box of pencils has 24 pencils and you give away 6	How many pencils do you have left?	18	True
If a movie is 2 hours and 15 minutes long	How many minutes long is it?	135	True
If a notebook has 80 pages and you have used 20 pages	How many pages do you have left to use?	60	True
If a recipe calls for 3 eggs and you only have 2	How many more eggs do you need to complete the recipe?	1	True
If a bus travels 100 miles in 2 hours	What is the average speed of the bus in miles per hour?	50	True
